Source IP,Source Port,Destination IP,Destination Port,Flags
192.168.0.101,54441,134.224.240.220,443,A
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
192.168.0.101,58650,170.114.1.185,443,PA
170.114.1.185,443,192.168.0.101,58650,PA
192.168.0.101,58650,170.114.1.185,443,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
134.224.240.220,443,192.168.0.101,54441,PA
192.168.0.101,54441,134.224.240.220,443,A
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
192.168.0.101,58650,170.114.1.185,443,PA
170.114.1.185,443,192.168.0.101,58650,PA
192.168.0.101,58650,170.114.1.185,443,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
134.224.240.220,443,192.168.0.101,54441,PA
192.168.0.101,54441,134.224.240.220,443,A
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
172.67.73.98,443,192.168.0.101,56304,PA
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
192.168.0.101,58650,170.114.1.185,443,PA
170.114.1.185,443,192.168.0.101,58650,PA
192.168.0.101,58650,170.114.1.185,443,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
134.224.240.220,443,192.168.0.101,54441,PA
192.168.0.101,54441,134.224.240.220,443,A
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
172.67.73.98,443,192.168.0.101,56304,PA
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,56304,172.67.73.98,443,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
192.168.0.101,58650,170.114.1.185,443,PA
170.114.1.185,443,192.168.0.101,58650,PA
192.168.0.101,58650,170.114.1.185,443,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
134.224.240.220,443,192.168.0.101,54441,PA
192.168.0.101,54441,134.224.240.220,443,A
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
172.67.73.98,443,192.168.0.101,56304,PA
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,56304,172.67.73.98,443,A
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
192.168.0.101,58650,170.114.1.185,443,PA
170.114.1.185,443,192.168.0.101,58650,PA
192.168.0.101,58650,170.114.1.185,443,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
134.224.240.220,443,192.168.0.101,54441,PA
192.168.0.101,54441,134.224.240.220,443,A
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
172.67.73.98,443,192.168.0.101,56304,PA
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,56304,172.67.73.98,443,A
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,56304,172.67.73.98,443,PA
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
192.168.0.101,58650,170.114.1.185,443,PA
170.114.1.185,443,192.168.0.101,58650,PA
192.168.0.101,58650,170.114.1.185,443,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
134.224.240.220,443,192.168.0.101,54441,PA
192.168.0.101,54441,134.224.240.220,443,A
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
172.67.73.98,443,192.168.0.101,56304,PA
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,56304,172.67.73.98,443,A
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
192.168.0.101,58650,170.114.1.185,443,PA
170.114.1.185,443,192.168.0.101,58650,PA
192.168.0.101,58650,170.114.1.185,443,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
134.224.240.220,443,192.168.0.101,54441,PA
192.168.0.101,54441,134.224.240.220,443,A
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
172.67.73.98,443,192.168.0.101,56304,PA
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,56304,172.67.73.98,443,A
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
104.18.26.90,443,192.168.0.101,56303,PA
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
192.168.0.101,58650,170.114.1.185,443,PA
170.114.1.185,443,192.168.0.101,58650,PA
192.168.0.101,58650,170.114.1.185,443,A
192.168.0.101,54441,134.224.240.220,443,PA
134.224.240.220,443,192.168.0.101,54441,A
134.224.240.220,443,192.168.0.101,54441,PA
192.168.0.101,54441,134.224.240.220,443,A
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
172.67.73.98,443,192.168.0.101,56304,PA
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,56304,172.67.73.98,443,A
172.67.73.98,443,192.168.0.101,56304,PA
192.168.0.101,56304,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.101,56304,A
104.18.26.90,443,192.168.0.101,56303,PA
104.18.26.90,443,192.168.0.101,56303,PA
35.174.127.31,443,192.168.0.101,61396,A
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
192.168.0.101,65240,102.132.104.60,443,FA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
192.168.0.101,65240,102.132.104.60,443,FA
192.168.0.101,65238,57.144.139.32,443,FA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
192.168.0.101,65240,102.132.104.60,443,FA
192.168.0.101,65238,57.144.139.32,443,FA
192.168.0.101,65237,57.144.139.32,443,FA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
192.168.0.101,65240,102.132.104.60,443,FA
192.168.0.101,65238,57.144.139.32,443,FA
192.168.0.101,65237,57.144.139.32,443,FA
192.168.0.101,64841,104.26.6.95,443,PA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
