Source IP,Source Port,Destination IP,Destination Port,Traffic Type,Timestamp
192.168.0.100,52991,104.21.11.245,443,Normal,2024-10-13 21:08:30.257408
104.21.11.245,443,192.168.0.100,52991,Normal,2024-10-13 21:08:30.384454
192.168.0.100,52956,20.199.120.182,443,Normal,2024-10-13 21:08:31.332265
192.168.0.100,52956,20.199.120.182,443,Normal,2024-10-13 21:08:31.639746
192.168.0.100,52956,20.199.120.182,443,Normal,2024-10-13 21:08:31.941919
192.168.0.100,53063,172.67.73.98,443,Normal,2024-10-13 21:08:32.216183
172.67.73.98,443,192.168.0.100,53063,Normal,2024-10-13 21:08:32.230147
192.168.0.100,53089,172.217.170.174,443,Normal,2024-10-13 21:08:32.540212
172.217.170.174,443,192.168.0.100,53089,Normal,2024-10-13 21:08:32.555139
192.168.0.100,52956,20.199.120.182,443,Normal,2024-10-13 21:08:32.571138
172.67.73.98,443,192.168.0.100,53063,Normal,2024-10-13 21:08:32.590046
192.168.0.100,53063,172.67.73.98,443,Normal,2024-10-13 21:08:32.606003
172.67.73.98,443,192.168.0.100,53063,Normal,2024-10-13 21:08:32.620966
192.168.0.100,53063,172.67.73.98,443,Normal,2024-10-13 21:08:32.634962
192.168.0.100,53063,172.67.73.98,443,Normal,2024-10-13 21:08:32.649886
172.67.73.98,443,192.168.0.100,53063,Normal,2024-10-13 21:08:32.664883
20.199.120.182,443,192.168.0.100,52956,Normal,2024-10-13 21:08:32.678812
192.168.0.100,52956,20.199.120.182,443,Normal,2024-10-13 21:08:32.713343
192.168.0.100,53003,104.18.10.244,443,Normal,2024-10-13 21:08:32.914782
104.18.10.244,443,192.168.0.100,53003,Normal,2024-10-13 21:08:32.928844
192.168.0.100,53079,216.58.223.67,443,Normal,2024-10-13 21:08:58.639888
216.58.223.67,443,192.168.0.100,53079,Normal,2024-10-13 21:08:58.657840
192.168.0.100,53022,104.21.79.86,443,Normal,2024-10-13 21:08:59.322102
192.168.0.100,52238,74.125.206.188,5228,Normal,2024-10-13 21:09:00.592722
192.168.0.100,53143,192.168.7.100,7680,SYN Flood,2024-10-13 21:09:01.937428
192.168.0.100,53063,172.67.73.98,443,Normal,2024-10-13 21:09:02.294169
172.67.73.98,443,192.168.0.100,53063,Normal,2024-10-13 21:09:02.308215
172.67.73.98,443,192.168.0.100,53063,Normal,2024-10-13 21:09:02.698174
192.168.0.100,53063,172.67.73.98,443,Normal,2024-10-13 21:09:02.721112
172.67.73.98,443,192.168.0.100,53063,Normal,2024-10-13 21:09:02.739103
192.168.0.100,53063,172.67.73.98,443,Normal,2024-10-13 21:09:02.753024
192.168.0.100,53063,172.67.73.98,443,Normal,2024-10-13 21:09:02.767987
172.67.73.98,443,192.168.0.100,53063,Normal,2024-10-13 21:09:02.782913
192.168.0.100,53132,216.58.223.99,443,Normal,2024-10-13 21:09:02.796873
192.168.0.100,53132,216.58.223.99,443,Normal,2024-10-13 21:09:02.810870
192.168.0.100,53132,216.58.223.99,443,Normal,2024-10-13 21:09:02.826826
216.58.223.99,443,192.168.0.100,53132,Normal,2024-10-13 21:09:02.840789
216.58.223.99,443,192.168.0.100,53132,Normal,2024-10-13 21:09:02.855719
192.168.0.100,53132,216.58.223.99,443,Normal,2024-10-13 21:09:02.870676
216.58.223.99,443,192.168.0.100,53132,Normal,2024-10-13 21:09:02.885670
192.168.0.100,53163,104.17.24.14,443,SYN Flood,2024-10-13 21:12:27.157750
104.17.24.14,443,192.168.0.100,53163,Normal,2024-10-13 21:12:27.179689
192.168.0.100,53163,104.17.24.14,443,Normal,2024-10-13 21:12:27.195698
192.168.0.100,53163,104.17.24.14,443,Normal,2024-10-13 21:12:27.210913
192.168.0.100,53163,104.17.24.14,443,Normal,2024-10-13 21:12:27.225835
104.17.24.14,443,192.168.0.100,53163,Normal,2024-10-13 21:12:27.238886
104.17.24.14,443,192.168.0.100,53163,Normal,2024-10-13 21:12:27.257838
104.17.24.14,443,192.168.0.100,53163,Normal,2024-10-13 21:12:27.279869
192.168.0.100,53163,104.17.24.14,443,Normal,2024-10-13 21:12:27.293832
104.17.24.14,443,192.168.0.100,53163,Normal,2024-10-13 21:12:27.308789
192.168.0.100,53163,104.17.24.14,443,Normal,2024-10-13 21:12:27.323784
192.168.0.100,53163,104.17.24.14,443,Normal,2024-10-13 21:12:27.337749
192.168.0.100,53163,104.17.24.14,443,Normal,2024-10-13 21:12:27.350712
104.17.24.14,443,192.168.0.100,53163,Normal,2024-10-13 21:12:27.369793
104.17.24.14,443,192.168.0.100,53163,Normal,2024-10-13 21:12:27.393764
192.168.0.100,53163,104.17.24.14,443,Normal,2024-10-13 21:12:27.413783
192.168.0.100,53163,104.17.24.14,443,Normal,2024-10-13 21:12:27.434728
104.17.24.14,443,192.168.0.100,53163,Normal,2024-10-13 21:12:27.458666
104.17.24.14,443,192.168.0.100,53163,Normal,2024-10-13 21:12:27.474656
192.168.0.100,53163,104.17.24.14,443,Normal,2024-10-13 21:12:27.488686
192.168.0.100,53196,172.67.73.98,443,Normal,2024-10-13 21:28:08.879418
172.67.73.98,443,192.168.0.100,53196,Normal,2024-10-13 21:28:08.919276
172.67.73.98,443,192.168.0.100,53196,Normal,2024-10-13 21:28:09.284637
172.67.73.98,443,192.168.0.100,53196,Normal,2024-10-13 21:28:09.308708
192.168.0.100,53196,172.67.73.98,443,Normal,2024-10-13 21:28:09.323670
192.168.0.100,53196,172.67.73.98,443,Normal,2024-10-13 21:28:09.337847
172.67.73.98,443,192.168.0.100,53196,Normal,2024-10-13 21:28:09.350815
172.67.73.98,443,192.168.0.100,53196,Normal,2024-10-13 21:28:09.551138
192.168.0.100,53196,172.67.73.98,443,Normal,2024-10-13 21:28:09.603000
192.168.0.100,53193,46.32.182.121,443,Normal,2024-10-13 21:28:17.351301
192.168.0.100,53196,172.67.73.98,443,Normal,2024-10-13 21:28:18.897032
172.67.73.98,443,192.168.0.100,53196,Normal,2024-10-13 21:28:18.952841
172.67.73.98,443,192.168.0.100,53196,Normal,2024-10-13 21:28:19.372140
192.168.0.100,53196,172.67.73.98,443,Normal,2024-10-13 21:28:19.402323
172.67.73.98,443,192.168.0.100,53196,Normal,2024-10-13 21:28:19.877759
